d,n,m,i,time
0.2,100,20,17,20.083290513
0.2,100,20,21,10.998282842
0.2,100,20,16,24.81791683
0.2,100,20,23,10.888966423
0.2,100,20,22,15.844465756
0.2,100,20,24,15.315925357
0.2,100,20,27,10.933151401
0.2,100,20,28,11.172576973
0.2,100,20,25,21.094938642
0.2,100,20,29,16.214027409
0.2,100,20,26,28.632700495999998
0.2,100,30,2,17.228362183
0.2,100,30,5,17.744992905
0.2,100,30,1,32.61749537
0.2,100,30,7,17.586675967
0.2,100,30,3,31.790693555
0.2,100,30,6,24.806079008
0.2,100,30,4,32.485426737
0.2,100,30,8,24.604425172
0.2,100,30,0,46.926831731
0.2,100,30,11,17.578573735
0.2,100,30,13,17.402810213
0.2,100,30,14,17.689513837
0.2,100,30,12,24.798728285
0.2,100,30,15,25.067381831
0.2,100,30,19,17.354548634
0.2,100,30,10,41.293314749
0.2,100,30,18,24.821056617
0.2,100,30,16,39.475982393
0.2,100,30,17,32.499746611
0.2,100,30,21,17.454330716
0.2,100,30,9,62.158508579
0.2,100,30,22,17.118530209
0.2,100,30,20,32.779921987
0.2,10,5,0,0.052694793
0.2,10,5,1,0.037451432
0.2,10,5,2,0.037431954
0.2,10,5,3,0.04655445
0.2,10,5,4,0.031558957
0.2,10,5,5,0.037629861
0.2,10,5,6,0.035751627
0.2,10,5,7,0.035796582
0.2,10,5,8,0.031790043
0.2,10,5,9,0.028140545
0.2,10,5,10,0.032386522
0.2,10,5,11,0.033352276
0.2,10,5,12,0.032156403
0.2,10,5,13,0.031175729
0.2,10,5,14,0.031037324
0.2,10,5,15,0.044980025
0.2,10,5,16,0.032956082
0.2,100,30,23,17.842394021
0.2,10,5,17,0.033711406
0.2,10,5,18,0.03527518
0.2,10,5,20,0.040768596
0.2,10,5,19,0.051912581
0.2,10,5,21,0.025967452
0.2,10,5,22,0.037715884
0.2,10,5,23,0.030066823
0.2,10,5,24,0.034826829
0.2,10,5,25,0.041689293
0.2,10,5,26,0.033113842
0.2,10,5,27,0.043759875
0.2,10,5,28,0.039593678
0.2,10,5,29,0.042863923
0.2,10,10,0,0.049523399
0.2,10,10,1,0.049111852
0.2,10,10,2,0.05180711
0.2,10,10,3,0.044678401
0.2,10,10,4,0.043972258
0.2,10,10,5,0.042965178
0.2,10,10,6,0.058950116
0.2,10,10,7,0.057570951
0.2,10,10,8,0.052493916
0.2,10,10,9,0.045710446
0.2,10,10,10,0.059909444
0.2,10,10,11,0.045293968
0.2,10,10,13,0.053538604
0.2,10,10,12,0.055510334
0.2,10,10,15,0.039987213
0.2,10,10,14,0.052338066
0.2,10,10,16,0.056378151
0.2,10,10,17,0.04606844
0.2,10,10,18,0.050971008
0.2,10,10,19,0.060450311
0.2,10,10,21,0.045584913
0.2,10,10,20,0.058501338
0.2,10,10,23,0.046201771
0.2,10,10,22,0.061140372
0.2,10,10,24,0.046238374
0.2,10,10,25,0.056716578
0.2,10,10,26,0.047813739
0.2,10,10,27,0.058097275
0.2,10,10,28,0.051557873
0.2,10,10,29,0.043105521
0.2,10,20,0,0.066399208
0.2,10,20,1,0.083405828
0.2,10,20,2,0.075690244
0.2,10,20,3,0.091581508
0.2,10,20,4,0.088795706
0.2,10,20,5,0.090479194
0.2,10,20,6,0.067108453
0.2,10,20,7,0.067798807
0.2,10,20,8,0.068469198
0.2,10,20,9,0.082092341
0.2,10,20,10,0.085025114
0.2,10,20,11,0.070516795
0.2,10,20,12,0.093123011
0.2,10,20,13,0.065173318
0.2,10,20,14,0.084702458
0.2,10,20,15,0.075212177
0.2,10,20,16,0.069695488
0.2,10,20,17,0.072176332
0.2,10,20,18,0.090024482
0.2,10,20,19,0.090724347
0.2,10,20,20,0.07965036
0.2,10,20,21,0.064936598
0.2,10,20,22,0.072744916
0.2,10,20,23,0.079170871
0.2,10,20,24,0.065950909
0.2,10,20,25,0.075845394
0.2,10,20,27,0.070645367
0.2,10,20,26,0.101239669
0.2,10,20,29,0.085776308
0.2,10,20,28,0.090626816
0.2,10,30,0,0.095329619
0.2,10,30,1,0.123197443
0.2,10,30,2,0.097593595
0.2,10,30,3,0.08487712
0.2,10,30,4,0.104336587
0.2,10,30,5,0.110424691
0.2,10,30,6,0.112970342
0.2,10,30,7,0.103504572
0.2,10,30,8,0.095020703
0.2,10,30,9,0.126091784
0.2,10,30,10,0.127017065
0.2,10,30,11,0.109064791
0.2,10,30,12,0.08174071
0.2,10,30,13,0.114023196
0.2,10,30,14,0.124124618
0.2,10,30,15,0.086940665
0.2,10,30,17,0.096660758
0.2,10,30,16,0.129721319
0.2,10,30,18,0.098857733
0.2,10,30,19,0.110490024
0.2,10,30,20,0.117035401
0.2,10,30,21,0.095630734
0.2,10,30,23,0.111523049
0.2,10,30,22,0.129829938
0.2,10,30,24,0.12216866
0.2,10,30,25,0.110194177
0.2,10,30,26,0.099539692
0.2,10,30,27,0.101653785
0.2,10,30,28,0.109157344
0.2,10,30,29,0.105410022
0.2,20,5,1,0.106650198
0.2,20,5,0,0.116316739
0.2,20,5,3,0.112104737
0.2,20,5,2,0.119518549
0.2,20,5,4,0.116312155
0.2,20,5,5,0.12970549
0.2,20,5,6,0.106171188
0.2,20,5,7,0.104098957
0.2,20,5,8,0.104009139
0.2,20,5,9,0.104682471
0.2,20,5,10,0.101323128
0.2,20,5,11,0.10513008
0.2,20,5,12,0.099398024
0.2,20,5,13,0.110221785
0.2,20,5,14,0.101257194
0.2,20,5,15,0.110796775
0.2,20,5,16,0.112308024
0.2,20,5,17,0.095184173
0.2,20,5,18,0.108343333
0.2,20,5,19,0.110146232
0.2,20,5,20,0.103228625
0.2,20,5,21,0.101904947
0.2,20,5,22,0.101927759
0.2,20,5,23,0.110145802
0.2,20,5,24,0.113361005
0.2,20,5,25,0.097340798
0.2,20,5,26,0.092396633
0.2,20,5,27,0.107249933
0.2,20,5,28,0.114615648
0.2,20,5,29,0.09874328
0.2,20,10,0,0.151178512
0.2,20,10,1,0.159296714
0.2,20,10,2,0.15351749
0.2,20,10,3,0.141770494
0.2,20,10,5,0.122963188
0.2,20,10,4,0.131584287
0.2,20,10,7,0.142063593
0.2,20,10,6,0.145512646
0.2,20,10,9,0.145952005
0.2,20,10,8,0.15851874
0.2,20,10,11,0.149266153
0.2,20,10,10,0.164149892
0.2,20,10,12,0.141406124
0.2,20,10,13,0.142578477
0.2,20,10,15,0.133860135
0.2,20,10,14,0.15252353
0.2,20,10,16,0.14001634
0.2,20,10,17,0.147943719
0.2,20,10,18,0.151705809
0.2,20,10,19,0.15360188
0.2,20,10,20,0.147865048
0.2,20,10,21,0.14429617
0.2,20,10,22,0.178458957
0.2,20,10,23,0.161484232
0.2,20,10,25,0.1421612
0.2,20,10,24,0.160382756
