r,n,m,i,bs,jri
0.2,5,30,6,0.2,0.0034482758620689655
0.2,5,30,7,0.4,0.006896551724137931
0.2,5,30,8,0.2,0.0034482758620689655
0.2,5,30,9,0.2,0
0.2,5,30,10,0.2,0.0034482758620689655
0.2,5,30,11,0.2,0.006896551724137931
0.2,5,30,12,0.2,0.013793103448275862
0.2,5,30,13,0.2,0
0.2,5,30,14,0.2,0.010344827586206896
0.2,5,30,15,0,0
0.2,5,30,16,0.2,0.010344827586206896
0.2,5,30,17,0.2,0
0.2,5,30,18,0.2,0.02413793103448276
0.2,5,30,19,0.2,0.006896551724137931
0.2,5,30,20,0.2,0
0.2,5,30,21,0.2,0.0034482758620689655
0.2,5,30,22,0.2,0.006896551724137931
0.2,5,30,23,0.2,0.006896551724137931
0.2,5,30,24,0.2,0.010344827586206896
0.2,5,30,25,0.4,0
0.2,5,30,26,0.2,0
0.2,5,30,27,0.2,0.017241379310344827
0.2,5,30,28,0.4,0.006896551724137931
0.2,5,30,29,0.2,0.006896551724137931
0.2,100,5,0,0.06,0.009848484848484848
0.2,100,5,1,0.06,0.016363636363636365
0.2,100,5,2,0.06,0.017474747474747476
0.2,100,5,3,0.07,0.018232323232323232
0.2,100,5,4,0.1,0.024898989898989896
0.2,100,5,5,0.06,0.012727272727272728
0.2,100,5,6,0.08,0.006313131313131313
0.2,100,5,7,0.08,0.01611111111111111
0.2,100,5,8,0.11,0.024242424242424242
0.2,100,5,9,0.07,0.013181818181818182
0.2,100,5,10,0.08,0.011818181818181818
0.2,100,5,11,0.06,0.018333333333333333
0.2,100,5,12,0.07,0.022929292929292928
0.2,100,5,13,0.07,0.012474747474747475
0.2,100,5,14,0.07,0.010707070707070708
0.2,100,5,15,0.07,0.010303030303030303
0.2,100,5,16,0.07,0.023989898989898988
0.2,100,5,17,0.07,0.019393939393939394
0.2,100,5,18,0.07,0.0251010101010101
0.2,100,5,19,0.07,0.02212121212121212
0.2,100,5,20,0.08,0.014343434343434342
0.2,100,5,21,0.06,0.014494949494949496
0.2,100,5,22,0.06,0.013030303030303031
0.2,100,5,23,0.07,0.019292929292929292
0.2,100,5,24,0.06,0.008787878787878787
0.2,100,5,25,0.07,0.017676767676767676
0.2,100,5,26,0.08,0.026363636363636363
0.2,100,5,27,0.08,0.010454545454545454
0.2,100,5,28,0.08,0.02212121212121212
0.2,100,5,29,0.07,0.013333333333333334
0.2,100,10,0,0.13,0.017194163860830527
0.2,100,10,1,0.13,0.007138047138047138
0.2,100,10,2,0.13,0.013737373737373739
0.2,100,10,3,0.14,0.009562289562289562
0.2,100,10,4,0.12,0.0077665544332211
0.2,100,10,5,0.12,0.01254769921436588
0.2,100,10,6,0.13,0.016835016835016835
0.2,100,10,7,0.13,0.00962962962962963
0.2,100,10,8,0.16,0.007654320987654321
0.2,100,10,9,0.13,0.011043771043771043
0.2,100,10,10,0.12,0.01149270482603816
0.2,100,10,11,0.13,0.00931537598204265
0.2,100,10,12,0.12,0.01239057239057239
0.2,100,10,13,0.12,0.007519640852974186
0.2,100,10,14,0.16,0.013355780022446688
0.2,100,10,15,0.14,0.013423120089786755
0.2,100,10,16,0.15,0.014949494949494949
0.2,100,10,17,0.11,0.010572390572390572
0.2,100,10,18,0.13,0.0110662177328844
0.2,100,10,19,0.15,0.018742985409652076
0.2,100,10,20,0.13,0.011672278338945005
0.2,100,10,21,0.15,0.011515151515151515
0.2,100,10,22,0.16,0.010415263748597081
0.2,100,10,23,0.11,0.014276094276094276
0.2,100,10,24,0.13,0.00819304152637486
0.2,100,10,25,0.16,0.012300785634118969
0.2,100,10,26,0.13,0.011425364758698093
0.2,100,10,27,0.14,0.007227833894500561
0.2,100,10,28,0.14,0.006936026936026936
0.2,100,10,29,0.13,0.015667789001122333
0.2,100,20,0,0.19,0.008144603934077618
0.2,100,20,1,0.21,0.005677830940988836
0.2,100,20,2,0.19,0.006751727804359383
0.2,100,20,3,0.22,0.009229133439659755
0.2,100,20,4,0.2,0.007985114300903774
0.2,100,20,5,0.19,0.006613503455608719
0.2,100,20,6,0.23,0.01014354066985646
0.2,100,20,7,0.18,0.006730462519936204
0.2,100,20,8,0.19,0.0071238702817650185
0.2,100,20,9,0.18,0.005922381711855397
0.2,100,20,10,0.2,0.0066241360978203075
0.2,100,20,11,0.18,0.008814460393407763
0.2,100,20,12,0.23,0.009239766081871345
0.2,100,20,13,0.21,0.008176501860712388
0.2,100,20,14,0.21,0.006188197767145136
0.2,100,20,15,0.21,0.00810207336523126
0.2,100,20,16,0.21,0.005677830940988836
0.2,100,20,17,0.23,0.006049973418394471
0.2,100,20,18,0.17,0.0072195640616693245
0.2,100,20,19,0.19,0.007293992557150452
0.2,100,20,20,0.19,0.0061031366294524185
0.2,100,20,21,0.22,0.006645401382243488
0.2,100,20,22,0.19,0.008048910154173312
0.2,100,20,23,0.2,0.00659223817118554
0.2,100,20,24,0.17,0.005124933545986177
0.2,100,20,25,0.18,0.009707602339181286
0.2,100,20,26,0.19,0.0070069112174375335
0.2,100,20,27,0.2,0.008219032429558746
0.2,100,20,28,0.21,0.006166932482721956
0.2,100,20,29,0.19,0.005475810738968634
0.2,100,30,0,0.24,0.005315221177290143
0.2,100,30,1,0.23,0.0055451062347614075
0.2,100,30,2,0.18,0.0045559038662486935
0.2,100,30,3,0.23,0.00432601880877743
0.2,100,30,4,0.23,0.0060257749912922326
0.2,100,30,5,0.28,0.006889585510275165
0.2,100,30,6,0.24,0.004123998606757228
0.2,100,30,7,0.24,0.005447579240682689
0.2,100,30,8,0.23,0.00610936955764542
0.2,100,30,9,0.24,0.0042215256008359455
0.2,100,30,10,0.23,0.004702194357366771
0.2,100,30,11,0.24,0.004966910484151863
0.2,100,30,12,0.23,0.004730059212817834
0.2,100,30,13,0.21,0.005726227795193312
0.2,100,30,14,0.25,0.005900383141762452
0.2,100,30,15,0.24,0.005949146638801812
0.2,100,30,16,0.21,0.004165795889933821
0.2,100,30,17,0.2,0.004458376872169975
0.2,100,30,18,0.21,0.0061720654824103105
0.2,100,30,19,0.23,0.006130268199233717
0.2,100,30,20,0.24,0.005266457680250783
0.2,100,30,21,0.31,0.006165099268547545
0.2,100,30,22,0.25,0.005949146638801812
0.2,100,30,23,0.32,0.006910484151863462
0.2,100,30,24,0.22,0.004409613375130616
0.2,100,30,25,0.22,0.006429815395332637
0.2,100,30,26,0.19,0.004716126785092302
0.2,100,30,27,0.27,0.00522466039707419
0.2,100,30,28,0.27,0.006192964123998607
0.2,100,30,29,0.23,0.005781957506095437
0.2,10,5,0,0.4,0.03888888888888889
0.2,10,5,1,0.2,0.011111111111111112
0.2,10,5,2,0.1,0
0.2,10,5,3,0.2,0.027777777777777776
0.2,10,5,4,0.3,0.03888888888888889
0.2,10,5,5,0.4,0.022222222222222223
0.2,10,5,6,0.2,0.011111111111111112
0.2,10,5,7,0.3,0.022222222222222223
0.2,10,5,8,0.1,0.005555555555555556
0.2,10,5,9,0.2,0.005555555555555556
0.2,10,5,10,0.1,0.005555555555555556
0.2,10,5,11,0.2,0.005555555555555556
0.2,10,5,12,0.1,0
0.2,10,5,13,0.2,0.03888888888888889
0.2,10,5,14,0.2,0.011111111111111112
0.2,10,5,15,0.1,0.005555555555555556
0.2,10,5,16,0.1,0.005555555555555556
0.2,10,5,17,0.4,0.005555555555555556
0.2,10,5,18,0.1,0
0.2,10,5,19,0.1,0.005555555555555556
0.2,10,5,20,0.2,0.005555555555555556
0.2,10,5,21,0.3,0.005555555555555556
0.2,10,5,22,0.2,0.011111111111111112
0.2,10,5,23,0.2,0.011111111111111112
0.2,10,5,24,0.2,0.005555555555555556
0.2,10,5,25,0.2,0.016666666666666666
0.2,10,5,26,0.2,0.016666666666666666
0.2,10,5,27,0.1,0.044444444444444446
0.2,10,5,28,0.2,0.016666666666666666
0.2,10,5,29,0.3,0.027777777777777776
0.2,10,10,0,0.1,0.0024691358024691358
0.2,10,10,1,0.2,0.0049382716049382715
0.2,10,10,2,0.3,0.0049382716049382715
0.2,10,10,3,0.5,0.0049382716049382715
0.2,10,10,4,0.2,0.007407407407407408
0.2,10,10,5,0.2,0
0.2,10,10,6,0.2,0.0024691358024691358
0.2,10,10,7,0.2,0.034567901234567905
0.2,10,10,8,0.1,0.014814814814814815
0.2,10,10,9,0.2,0.0024691358024691358
0.2,10,10,10,0.2,0.017283950617283952
0.2,10,10,11,0.2,0.0024691358024691358
0.2,10,10,12,0.2,0
0.2,10,10,13,0.1,0
0.2,10,10,14,0.3,0.0024691358024691358
0.2,10,10,15,0.2,0.017283950617283952
0.2,10,10,16,0.2,0.03209876543209876
0.2,10,10,17,0.4,0.0049382716049382715
0.2,10,10,18,0.3,0.014814814814814815
0.2,10,10,19,0.2,0.0049382716049382715
0.2,10,10,20,0.3,0.009876543209876543
0.2,10,10,21,0.3,0
0.2,10,10,22,0.4,0.024691358024691357
0.2,10,10,23,0.2,0.0024691358024691358
0.2,10,10,24,0.3,0.017283950617283952
0.2,10,10,25,0.3,0.007407407407407408
0.2,10,10,26,0.4,0.014814814814814815
0.2,10,10,27,0.3,0.012345679012345678
0.2,10,10,28,0.3,0.014814814814814815
0.2,10,10,29,0.1,0.037037037037037035
0.2,10,20,0,0.2,0.0011695906432748538
0.2,10,20,1,0.3,0.010526315789473684
0.2,10,20,2,0.4,0.0023391812865497076
0.2,10,20,3,0.4,0.007017543859649123
0.2,10,20,4,0.3,0.0023391812865497076
0.2,10,20,5,0.3,0.00935672514619883
0.2,10,20,6,0.3,0.004678362573099415
0.2,10,20,7,0.1,0.0023391812865497076
0.2,10,20,8,0.4,0.0023391812865497076
0.2,10,20,9,0.2,0.0035087719298245615
0.2,10,20,10,0.2,0.004678362573099415
0.2,10,20,11,0.4,0.005847953216374269
0.2,10,20,12,0.3,0.004678362573099415
0.2,10,20,13,0.3,0.0023391812865497076
0.2,10,20,14,0.3,0.0035087719298245615
0.2,10,20,15,0.3,0.011695906432748537
0.2,10,20,16,0.4,0.0023391812865497076
0.2,10,20,17,0.3,0.008187134502923975
0.2,10,20,18,0.3,0.00935672514619883
0.2,10,20,19,0.1,0.0011695906432748538
0.2,10,20,20,0.2,0.0023391812865497076
0.2,10,20,21,0.1,0
0.2,10,20,22,0.3,0.0011695906432748538
0.2,10,20,23,0.3,0.012865497076023392
0.2,10,20,24,0.3,0.008187134502923975
0.2,10,20,25,0.2,0.005847953216374269
0.2,10,20,26,0.4,0.007017543859649123
0.2,10,20,27,0.3,0.005847953216374269
0.2,10,20,28,0.3,0.00935672514619883
0.2,10,20,29,0.4,0.0035087719298245615
0.2,10,30,0,0.1,0
0.2,10,30,1,0.4,0.0053639846743295016
0.2,10,30,2,0.1,0.0015325670498084292
0.2,10,30,3,0.2,7.662835249042146e-4
0.2,10,30,4,0.2,7.662835249042146e-4
0.2,10,30,5,0.2,0.0015325670498084292
0.2,10,30,6,0.2,0.0030651340996168583
0.2,10,30,7,0.4,0.0022988505747126436
0.2,10,30,8,0.4,0.006896551724137931
0.2,10,30,9,0.5,0.0022988505747126436
0.2,10,30,10,0.4,0.0022988505747126436
0.2,10,30,11,0.3,0.006130268199233717
0.2,10,30,12,0.2,0.0053639846743295016
0.2,10,30,13,0.3,0.006896551724137931
0.2,10,30,14,0.2,0.0053639846743295016
0.2,10,30,15,0.2,0.0053639846743295016
0.2,10,30,16,0.3,0.004597701149425287
0.2,10,30,17,0.2,0.0022988505747126436
0.2,10,30,18,0.2,0.006130268199233717
0.2,10,30,19,0.2,0.004597701149425287
0.2,10,30,20,0.2,0.0053639846743295016
0.2,10,30,21,0.2,0.0038314176245210726
0.2,10,30,22,0.4,0.0022988505747126436
0.2,10,30,23,0.3,0.0022988505747126436
0.2,10,30,24,0.3,0.011494252873563218
0.2,10,30,25,0.3,0.0053639846743295016
0.2,10,30,26,0.1,0.0038314176245210726
0.2,10,30,27,0.3,0.0022988505747126436
0.2,10,30,28,0.2,0.006896551724137931
0.2,10,30,29,0.3,0.0030651340996168583
0.2,20,5,0,0.2,0.009210526315789473
0.2,20,5,1,0.2,0.006578947368421052
0.2,20,5,2,0.15,0.006578947368421052
0.2,20,5,3,0.15,0.005263157894736842
0.2,20,5,4,0.2,0.03684210526315789
0.2,20,5,5,0.2,0.017105263157894738
0.2,20,5,6,0.15,0.031578947368421054
0.2,20,5,7,0.2,0.015789473684210527
0.2,20,5,8,0.15,0.02631578947368421
0.2,20,5,9,0.15,0.007894736842105263
0.2,20,5,10,0.15,0.007894736842105263
0.2,20,5,11,0.25,0.03289473684210526
0.2,20,5,12,0.2,0.024999999999999998
0.2,20,5,13,0.2,0.035526315789473684
0.2,20,5,14,0.1,0.015789473684210527
0.2,20,5,15,0.2,0.03026315789473684
0.2,20,5,16,0.2,0.002631578947368421
0.2,20,5,17,0.1,0.010526315789473684
0.2,20,5,18,0.3,0.02631578947368421
0.2,20,5,19,0.2,0.028947368421052635
0.2,20,5,20,0.15,0.006578947368421052
0.2,20,5,21,0.15,0.009210526315789473
0.2,20,5,22,0.2,0.015789473684210527
0.2,20,5,23,0.2,0.05526315789473685
0.2,20,5,24,0.1,0.018421052631578946
0.2,20,5,25,0.15,0.03026315789473684
0.2,20,5,26,0.2,0.005263157894736842
0.2,20,5,27,0.25,0.042105263157894736
0.2,20,5,28,0.2,0.017105263157894738
0.2,20,5,29,0.15,0.005263157894736842
0.2,20,10,0,0.3,0.014619883040935673
0.2,20,10,1,0.3,0.016959064327485382
0.2,20,10,2,0.2,0.004678362573099415
0.2,20,10,3,0.25,0.019298245614035085
0.2,20,10,4,0.2,0.021637426900584796
0.2,20,10,5,0.15,5.847953216374269e-4
0.2,20,10,6,0.15,0.004678362573099415
0.2,20,10,7,0.3,0.015789473684210527
0.2,20,10,8,0.3,0.005263157894736842
0.2,20,10,9,0.2,0.004678362573099415
0.2,20,10,10,0.2,0.01286549707602339
0.2,20,10,11,0.35,0.010526315789473684
0.2,20,10,12,0.2,0.006432748538011695
0.2,20,10,13,0.3,0.00935672514619883
0.2,20,10,14,0.3,0.023391812865497075
0.2,20,10,15,0.2,0.008187134502923977
0.2,20,10,16,0.25,0.0029239766081871343
0.2,20,10,17,0.25,0.008187134502923977
0.2,20,10,18,0.2,0.008187134502923977
0.2,20,10,19,0.25,0.008771929824561403
0.2,20,10,20,0.2,0.014035087719298246
0.2,20,10,21,0.2,0.006432748538011695
0.2,20,10,22,0.4,0.021637426900584796
0.2,20,10,23,0.3,0.004678362573099415
0.2,20,10,24,0.25,0.011695906432748537
0.2,20,10,25,0.15,0.00935672514619883
0.2,20,10,26,0.15,0.0035087719298245615
0.2,20,10,27,0.25,0.0035087719298245615
0.2,20,10,28,0.35,0.00935672514619883
0.2,20,10,29,0.25,0.0035087719298245615
0.2,20,20,0,0.35,0.006371191135734072
0.2,20,20,1,0.4,0.007202216066481995
0.2,20,20,2,0.35,0.007202216066481995
0.2,20,20,3,0.3,0.009418282548476454
0.2,20,20,4,0.2,0.0038781163434903044
0.2,20,20,5,0.4,0.007479224376731302
0.2,20,20,6,0.2,0.0022160664819944596
0.2,20,20,7,0.25,0.009418282548476454
0.2,20,20,8,0.15,0.0019390581717451522
0.2,20,20,9,0.4,0.008864265927977838
0.2,20,20,10,0.25,0.004432132963988919
0.2,20,20,11,0.3,0.008033240997229917
0.2,20,20,12,0.15,0.006925207756232687
0.2,20,20,13,0.3,0.01301939058171745
0.2,20,20,14,0.25,0.011634349030470914
0.2,20,20,15,0.25,0.0041551246537396115
0.2,20,20,16,0.3,0.008033240997229917
0.2,20,20,17,0.3,0.009695290858725761
0.2,20,20,18,0.3,0.010249307479224376
0.2,20,20,19,0.3,0.006925207756232687
0.2,20,20,20,0.3,0.007756232686980609
0.2,20,20,21,0.3,0.011634349030470914
0.2,20,20,22,0.15,0.004986149584487534
0.2,20,20,23,0.3,0.0022160664819944596
0.2,20,20,24,0.2,0.007756232686980609
0.2,20,20,25,0.25,0.005817174515235457
0.2,20,20,26,0.25,0.01218836565096953
0.2,20,20,27,0.25,0.005817174515235457
0.2,20,20,28,0.3,0.014958448753462604
0.2,20,20,29,0.25,0.005263157894736842
0.2,20,30,0,0.25,0.007259528130671506
0.2,20,30,1,0.2,0.004718693284936479
0.2,20,30,2,0.2,0.001633393829401089
0.2,20,30,3,0.25,0.002177858439201452
0.2,20,30,4,0.25,0.004537205081669692
0.2,20,30,5,0.3,0.009074410163339383
0.2,20,30,6,0.2,0.0014519056261343012
0.2,20,30,7,0.25,0.006896551724137932
0.2,20,30,8,0.35,0.005626134301270418
0.2,20,30,9,0.35,0.008711433756805808
0.2,20,30,10,0.25,0.004900181488203267
0.2,20,30,11,0.3,0.006533575317604356
0.2,20,30,12,0.25,0.0030852994555353903
0.2,20,30,13,0.35,0.006533575317604356
0.2,20,30,14,0.25,0.004355716878402904
0.2,20,30,15,0.25,0.005263157894736842
0.2,20,30,16,0.4,0.003992740471869328
0.2,20,30,17,0.2,0.005626134301270418
0.2,20,30,18,0.3,0.006896551724137932
0.2,20,30,19,0.4,0.006170598911070781
0.2,20,30,20,0.2,0.002177858439201452
0.2,20,30,21,0.35,0.0074410163339382945
0.2,20,30,22,0.3,0.005807622504537205
0.2,20,30,23,0.25,0.003811252268602541
0.2,20,30,24,0.4,0.007622504537205082
0.2,20,30,25,0.25,0.006352087114337568
0.2,20,30,26,0.3,0.010163339382940109
0.2,20,30,27,0.25,0.005989110707803993
0.2,20,30,28,0.4,0.006896551724137932
0.2,20,30,29,0.25,0.003266787658802178
0.2,30,5,0,0.1,0.016666666666666666
0.2,30,5,1,0.13333333333333333,0.020114942528735632
0.2,30,5,2,0.2,0.027011494252873563
0.2,30,5,3,0.13333333333333333,0.02586206896551724
0.2,30,5,4,0.13333333333333333,0.010919540229885057
0.2,30,5,5,0.16666666666666666,0.0022988505747126436
0.2,30,5,6,0.2,0.020689655172413793
0.2,30,5,7,0.13333333333333333,0.004022988505747126
0.2,30,5,8,0.13333333333333333,0.0011494252873563218
0.2,30,5,9,0.13333333333333333,0.01206896551724138
0.2,30,5,10,0.13333333333333333,0.017816091954022992
0.2,30,5,11,0.1,0.001724137931034483
0.2,30,5,12,0.16666666666666666,0.020689655172413793
0.2,30,5,13,0.13333333333333333,0.016091954022988506
0.2,30,5,14,0.16666666666666666,0.005172413793103448
0.2,30,5,15,0.1,0.02586206896551724
0.2,30,5,16,0.1,0.01839080459770115
0.2,30,5,17,0.13333333333333333,0.010919540229885057
0.2,30,5,18,0.1,0.00632183908045977
0.2,30,5,19,0.16666666666666666,0.009770114942528735
0.2,30,5,20,0.13333333333333333,0.014942528735632184
0.2,30,5,21,0.16666666666666666,0.018965517241379314
0.2,30,5,22,0.1,0.018965517241379314
0.2,30,5,23,0.13333333333333333,0.015517241379310345
0.2,30,5,24,0.2,0.005747126436781609
0.2,30,5,25,0.13333333333333333,0.005747126436781609
0.2,30,5,26,0.23333333333333334,0.038505747126436785
0.2,30,5,27,0.1,0.004597701149425287
0.2,30,5,28,0.1,0.0028735632183908046
0.2,30,5,29,0.1,0.008620689655172414
0.2,30,10,0,0.16666666666666666,0.009706257982120051
0.2,30,10,1,0.2,0.005874840357598978
0.2,30,10,2,0.23333333333333334,0.020434227330779053
0.2,30,10,3,0.2,0.0035759897828863347
0.2,30,10,4,0.2,0.013026819923371647
0.2,30,10,5,0.2,0.00842911877394636
0.2,30,10,6,0.3,0.017369093231162196
0.2,30,10,7,0.2,0.005874840357598978
0.2,30,10,8,0.23333333333333334,0.00842911877394636
0.2,30,10,9,0.3,0.005874840357598978
0.2,30,10,10,0.23333333333333334,0.012005108556832695
0.2,30,10,11,0.26666666666666666,0.018901660280970626
0.2,30,10,12,0.2,0.013793103448275864
0.2,30,10,13,0.2,0.013793103448275864
0.2,30,10,14,0.2,0.019157088122605366
0.2,30,10,15,0.23333333333333334,0.008684546615581098
0.2,30,10,16,0.3,0.009195402298850575
0.2,30,10,17,0.16666666666666666,0.007918263090676884
0.2,30,10,18,0.3333333333333333,0.018901660280970626
0.2,30,10,19,0.2,0.004086845466155811
0.2,30,10,20,0.2,0.012005108556832695
0.2,30,10,21,0.26666666666666666,0.008684546615581098
0.2,30,10,22,0.13333333333333333,0.0033205619412515963
0.2,30,10,23,0.23333333333333334,0.010472541507024265
0.2,30,10,24,0.2,0.009195402298850575
0.2,30,10,25,0.16666666666666666,0.008939974457215836
0.2,30,10,26,0.2,0.015581098339719029
0.2,30,10,27,0.2,0.006896551724137932
0.2,30,10,28,0.3,0.01532567049808429
0.2,30,10,29,0.26666666666666666,0.017624521072796932
0.2,30,20,0,0.23333333333333334,0.003266787658802178
0.2,30,20,1,0.26666666666666666,0.006896551724137932
0.2,30,20,2,0.4,0.003266787658802178
0.2,30,20,3,0.3,0.0035087719298245615
0.2,30,20,4,0.26666666666666666,0.010526315789473684
0.2,30,20,5,0.3,0.008590441621294615
0.2,30,20,6,0.16666666666666666,0.002661826981246219
0.2,30,20,7,0.43333333333333335,0.01427707199032063
0.2,30,20,8,0.26666666666666666,0.007743496672716273
0.2,30,20,9,0.3333333333333333,0.009316394434361767
0.2,30,20,10,0.23333333333333334,0.0035087719298245615
0.2,30,20,11,0.13333333333333333,0.0019358741681790683
0.2,30,20,12,0.13333333333333333,0.0029038112522686023
0.2,30,20,13,0.4,0.011494252873563218
0.2,30,20,14,0.3,0.004718693284936479
0.2,30,20,15,0.36666666666666664,0.008711433756805808
0.2,30,20,16,0.3333333333333333,0.013067150635208712
0.2,30,20,17,0.3,0.009437386569872959
0.2,30,20,18,0.3333333333333333,0.010526315789473684
0.2,30,20,19,0.3,0.009074410163339382
0.2,30,20,20,0.26666666666666666,0.0050816696914700536
0.2,30,20,21,0.23333333333333334,0.004234724742891712
0.2,30,20,22,0.26666666666666666,0.009195402298850575
0.2,30,20,23,0.26666666666666666,0.004718693284936479
0.2,30,20,24,0.2,0.008590441621294615
0.2,30,20,25,0.26666666666666666,0.00895341802782819
0.2,30,20,26,0.26666666666666666,0.010042347247428918
0.2,30,20,27,0.23333333333333334,0.007864488808227465
0.2,30,20,28,0.3,0.007622504537205081
0.2,30,20,29,0.3333333333333333,0.010526315789473684
0.2,30,30,0,0.3333333333333333,0.004280618311533888
0.2,30,30,1,0.3,0.005945303210463734
0.2,30,30,2,0.4,0.006896551724137932
0.2,30,30,3,0.2,0.002140309155766944
0.2,30,30,4,0.3,0.0038049940546967895
0.2,30,30,5,0.3,0.0053111375346809354
0.2,30,30,6,0.23333333333333334,0.006341656757827983
0.2,30,30,7,0.36666666666666664,0.004518430439952438
0.2,30,30,8,0.3,0.00737217598097503
0.2,30,30,9,0.3,0.0058660325009908835
0.2,30,30,10,0.3333333333333333,0.008640507332540626
0.2,30,30,11,0.26666666666666666,0.0035671819262782403
0.2,30,30,12,0.2,0.003963535473642489
0.2,30,30,13,0.23333333333333334,0.0031708283789139914
0.2,30,30,14,0.23333333333333334,0.004280618311533888
0.2,30,30,15,0.3,0.001506143479984146
0.2,30,30,16,0.23333333333333334,0.0053111375346809354
0.2,30,30,17,0.3,0.005152596115735236
0.2,30,30,18,0.26666666666666666,0.0058660325009908835
0.2,30,30,19,0.26666666666666666,0.005231866825208086
0.2,30,30,20,0.26666666666666666,0.00364645263575109
0.2,30,30,21,0.3,0.006024573919936584
0.2,30,30,22,0.36666666666666664,0.005152596115735236
0.2,30,30,23,0.3333333333333333,0.005786761791518035
0.2,30,30,24,0.3,0.0058660325009908835
0.2,30,30,25,0.3,0.006103844629409433
0.2,30,30,26,0.3,0.003963535473642489
0.2,30,30,27,0.3333333333333333,0.005152596115735236
0.2,30,30,28,0.4,0.002615933412604043
0.2,30,30,29,0.3333333333333333,0.006658739595719381
0.2,50,5,0,0.12,0.017755102040816328
0.2,50,5,1,0.1,0.013061224489795919
0.2,50,5,2,0.08,0.007551020408163266
0.2,50,5,3,0.12,0.014285714285714285
0.2,50,5,4,0.14,0.019387755102040816
0.2,50,5,5,0.12,0.013877551020408165
0.2,50,5,6,0.14,0.03163265306122449
0.2,50,5,7,0.08,0.027346938775510206
0.2,50,5,8,0.1,0.013469387755102041
0.2,50,5,9,0.08,0.007959183673469388
0.2,50,5,10,0.12,0.006122448979591836
0.2,50,5,11,0.08,0.019183673469387753
0.2,50,5,12,0.1,0.013061224489795919
0.2,50,5,13,0.12,0.015714285714285715
0.2,50,5,14,0.12,0.0236734693877551
