r,n,m,i,bs,jri
0.2,100,5,20,0.07,0.01414141414141414
0.2,100,5,21,0.06,0.014595959595959596
0.2,100,5,22,0.06,0.012979797979797978
0.2,100,5,23,0.07,0.019444444444444445
0.2,100,5,24,0.05,0.009242424242424243
0.2,100,5,25,0.08,0.017929292929292927
0.2,100,5,26,0.08,0.027474747474747478
0.2,100,5,27,0.07,0.010757575757575757
0.2,100,5,28,0.08,0.022727272727272728
0.2,100,5,29,0.08,0.014090909090909091
0.2,100,10,0,0.14,0.017575757575757574
0.2,100,10,1,0.13,0.007250280583613916
0.2,100,10,2,0.13,0.014006734006734007
0.2,100,10,3,0.13,0.009517396184062851
0.2,100,10,4,0.11,0.007721661054994389
0.2,100,10,5,0.13,0.012727272727272728
0.2,100,10,6,0.13,0.016655443322109987
0.2,100,10,7,0.12,0.009517396184062851
0.2,100,10,8,0.14,0.007609427609427609
0.2,100,10,9,0.13,0.011043771043771043
0.2,100,10,10,0.12,0.011447811447811448
0.2,100,10,11,0.13,0.009517396184062851
0.2,100,10,12,0.12,0.012480359147025813
0.2,100,10,13,0.13,0.007833894500561166
0.2,100,10,14,0.15,0.013176206509539844
0.2,100,10,15,0.13,0.013355780022446688
0.2,100,10,16,0.15,0.015084175084175085
0.2,100,10,17,0.11,0.01075196408529742
0.2,100,10,18,0.14,0.010976430976430977
0.2,100,10,19,0.14,0.018989898989898987
0.2,100,10,20,0.12,0.011896745230078564
0.2,100,10,21,0.14,0.011717171717171716
0.2,100,10,22,0.16,0.010437710437710438
0.2,100,10,23,0.11,0.0143658810325477
0.2,100,10,24,0.13,0.008305274971941638
0.2,100,10,25,0.14,0.012592592592592591
0.2,100,10,26,0.13,0.011672278338945005
0.2,100,10,27,0.15,0.007429854096520763
0.2,100,10,28,0.14,0.007115600448933782
0.2,100,10,29,0.12,0.015712682379349047
0.2,100,20,0,0.18,0.008357256778309409
0.2,100,20,1,0.21,0.005741626794258373
0.2,100,20,2,0.18,0.0065284423179160014
0.2,100,20,3,0.22,0.009165337586390218
0.2,100,20,4,0.19,0.007985114300903774
0.2,100,20,5,0.18,0.00654970760233918
0.2,100,20,6,0.2,0.010047846889952153
0.2,100,20,7,0.19,0.0066028708133971286
0.2,100,20,8,0.17,0.007240829346092504
0.2,100,20,9,0.19,0.005720361509835194
0.2,100,20,10,0.19,0.006741095162147794
0.2,100,20,11,0.18,0.009165337586390218
0.2,100,20,12,0.23,0.009037745879851143
0.2,100,20,13,0.21,0.008229665071770335
